date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-08-17,4261.48000000,4485.39000000,4200.74000000,4285.08000000,,,,,,,,,,,bull
2017-08-18,4285.08000000,4371.52000000,3938.77000000,4108.37000000,,,,,,,,,,,bear
2017-08-19,4108.37000000,4184.69000000,3850.00000000,4139.98000000,,,,,,,,,,,bull
2017-08-20,4120.98000000,4211.08000000,4032.62000000,4086.29000000,,,,,,,,,,,bear
2017-08-21,4069.13000000,4119.62000000,3911.79000000,4016.00000000,,,,,,,,,,,bear
2017-08-22,4016.00000000,4104.82000000,3400.00000000,4040.00000000,,,,,,,,,,,bull
2017-08-23,4040.00000000,4265.80000000,4013.89000000,4114.01000000,,,,,,,,,,,bull
2017-08-24,4147.00000000,4371.68000000,4085.01000000,4316.01000000,,,,,4138.217500000001,,,,,,bull
2017-08-25,4316.01000000,4453.91000000,4247.48000000,4280.68000000,,,,,4169.8758333333335,,,,,,bear
2017-08-26,4280.71000000,4367.00000000,4212.41000000,4337.44000000,,,,,4207.112314814814,,,,,,bull
2017-08-27,4332.51000000,4400.00000000,4285.54000000,4310.01000000,,,,,4229.978467078189,,,,,,bear
2017-08-28,4310.01000000,4399.82000000,4124.54000000,4386.69000000,,,,,4264.803252171925,4201.713333333334,,,,,bull
2017-08-29,4353.65000000,4625.85000000,4313.55000000,4587.48000000,,,,,4336.509196133719,4261.0620512820515,,,,,bull
2017-08-30,4564.52000000,4647.51000000,4416.01000000,4555.14000000,,,,,4385.093819215115,4306.304812623274,,,,,bear
2017-08-31,4555.14000000,4745.42000000,4555.14000000,4724.89000000,,,,,4460.604081611757,4370.702533758155,,,,67.85827398305986,bull
2017-09-01,4689.89000000,4885.55000000,4654.88000000,4834.91000000,,,,,4543.783174586922,4442.119067026131,,,,70.6794655907821,bull
2017-09-02,4796.16000000,4939.19000000,4286.87000000,4472.14000000,,,,,4527.862469123162,4446.737672099034,,,,53.884720079742976,bear
2017-09-03,4508.50000000,4714.76000000,4298.33000000,4509.08000000,,,,,4523.688587095792,4456.328799468413,,,,55.05584599074014,bull
2017-09-04,4505.00000000,4527.49000000,3972.51000000,4100.11000000,,,,,4429.560012185616,4401.525907242503,,,,42.26003453900124,bear
2017-09-05,4106.97000000,4484.99000000,3603.00000000,4366.47000000,4328.539,,,,4415.5400094777015,4396.132690743657,,,,50.353191531070586,bull
2017-09-06,4366.49000000,4662.87000000,4335.26000000,4619.77000000,4345.2735,,,,4460.92445181599,4430.538430629248,4342.407142857143,,,56.58522612592334,bull
2017-09-07,4619.77000000,4788.59000000,4438.19000000,4691.61000000,4374.4355000000005,,,,4512.187906967993,4470.703287455518,4374.152857142857,,,58.18829511861675,bull
2017-09-08,4691.66000000,4735.39000000,4028.93000000,4282.80000000,4381.576500000001,,,,4461.212816530661,4441.795089385439,4365.848051948052,,,47.450898785420655,bear
2017-09-09,4282.80000000,4426.62000000,4150.06000000,4258.81000000,4390.2025,,,,4416.234412857181,4413.643537172295,4356.117319952775,,,46.90392568983139,bear
2017-09-10,4258.81000000,4283.00000000,3801.00000000,4130.37000000,4395.921,,,,4352.708987777808,4370.062992991941,4335.594836320704,,,43.980851188766216,bear
2017-09-11,4153.62000000,4334.43000000,4098.91000000,4208.47000000,4404.3445,,,,4320.65587938274,4345.202532531643,4324.038033018822,,,46.17735104920699,bull
2017-09-12,4208.60000000,4394.59000000,4040.80000000,4163.72000000,4406.83,,,,4285.781239519909,4317.28214291139,4309.463666380747,,,45.08649403362089,bear
